n2000code:text	name:text	authority:text	eunisurl:url
A243	Calandrella brachydactyla	(Leisler, 1814)	http://eunis.eea.europa.eu/species/929
A244	Galerida cristata	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1055
A245	Galerida theklae	Brehm, 1858	http://eunis.eea.europa.eu/species/1056
A246	Lullula arborea	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1126
A247	Alauda arvensis	Linnaeus, 1758	http://eunis.eea.europa.eu/species/853
A248	Eremophila alpestris	(Gmelin, 1758)	http://eunis.eea.europa.eu/species/1028
A249	Riparia riparia	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1260
A250	Ptyonoprogne rupestris	Scopoli, 1769	http://eunis.eea.europa.eu/species/1242
A251	Hirundo rustica	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1083
A252	Hirundo daurica	Linnaeus, 1771	http://eunis.eea.europa.eu/species/1081
A253	Delichon urbica	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1006
A254	Anthus richardi	Vieillot, 1818	http://eunis.eea.europa.eu/species/885
A255	Anthus campestris	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/882
A256	Anthus trivialis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/887
A257	Anthus pratensis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/884
A258	Anthus cervinus	(Pallas, 1811)	http://eunis.eea.europa.eu/species/883
A259	Anthus spinoletta	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/886
A260	Motacilla flava	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1151
A261	Motacilla cinerea	Tunstall, 1771	http://eunis.eea.europa.eu/species/1150
A262	Motacilla alba	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1149
A263	Bombycilla garrulus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/912
A264	Cinclus cinclus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/971
A265	Troglodytes troglodytes	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1327
